codigo_ibge,municipio,uf,codigo_sudene,recorte,fonte,versao_recorte
3141405,Medina,MG,1,Área de atuação da SUDENE,IBGE - Área de Atuação da SUDENE,2021 (LC 185/2021)
3141504,Mendes Pimentel,MG,1,Área de atuação da SUDENE,IBGE - Área de Atuação da SUDENE,2021 (LC 185/2021)
3141801,Minas Novas,MG,1,Área de atuação da SUDENE,IBGE - Área de Atuação da SUDENE,2021 (LC 185/2021)
3142007,Mirabela,MG,1,Área de atuação da SUDENE,IBGE - Área de Atuação da SUDENE,2021 (LC 185/2021)
3142254,Miravânia,MG,1,Área de atuação da SUDENE,IBGE - Área de Atuação da SUDENE,2021 (LC 185/2021)
3142700,Montalvânia,MG,1,Área de atuação da SUDENE,IBGE - Área de Atuação da SUDENE,2021 (LC 185/2021)
3142908,Monte Azul,MG,1,Área de atuação da SUDENE,IBGE - Área de Atuação da SUDENE,2021 (LC 185/2021)
3143153,Monte Formoso,MG,1,Área de atuação da SUDENE,IBGE - Área de Atuação da SUDENE,2021 (LC 185/2021)
3143302,Montes Claros,MG,1,Área de atuação da SUDENE,IBGE - Área de Atuação da SUDENE,2021 (LC 185/2021)
3143450,Montezuma,MG,1,Área de atuação da SUDENE,IBGE - Área de Atuação da SUDENE,2021 (LC 185/2021)
3144003,Mutum,MG,1,Área de atuação da SUDENE,IBGE - Área de Atuação da SUDENE,2021 (LC 185/2021)
3144201,Nacip Raydan,MG,1,Área de atuação da SUDENE,IBGE - Área de Atuação da SUDENE,2021 (LC 185/2021)
3144300,Nanuque,MG,1,Área de atuação da SUDENE,IBGE - Área de Atuação da SUDENE,2021 (LC 185/2021)
3144359,Naque,MG,1,Área de atuação da SUDENE,IBGE - Área de Atuação da SUDENE,2021 (LC 185/2021)
3144375,Natalândia,MG,1,Área de atuação da SUDENE,IBGE - Área de Atuação da SUDENE,2021 (LC 185/2021)
3144656,Ninheira,MG,1,Área de atuação da SUDENE,IBGE - Área de Atuação da SUDENE,2021 (LC 185/2021)
3144672,Nova Belém,MG,1,Área de atuação da SUDENE,IBGE - Área de Atuação da SUDENE,2021 (LC 185/2021)
3144904,Nova Módica,MG,1,Área de atuação da SUDENE,IBGE - Área de Atuação da SUDENE,2021 (LC 185/2021)
3145059,Nova Porteirinha,MG,1,Área de atuação da SUDENE,IBGE - Área de Atuação da SUDENE,2021 (LC 185/2021)
3145307,Novo Cruzeiro,MG,1,Área de atuação da SUDENE,IBGE - Área de Atuação da SUDENE,2021 (LC 185/2021)
3145356,Novo Oriente de Minas,MG,1,Área de atuação da SUDENE,IBGE - Área de Atuação da SUDENE,2021 (LC 185/2021)
3145372,Novorizonte,MG,1,Área de atuação da SUDENE,IBGE - Área de Atuação da SUDENE,2021 (LC 185/2021)
3145455,Olhos-d'Água,MG,1,Área de atuação da SUDENE,IBGE - Área de Atuação da SUDENE,2021 (LC 185/2021)
3146206,Ouro Verde de Minas,MG,1,Área de atuação da SUDENE,IBGE - Área de Atuação da SUDENE,2021 (LC 185/2021)
3146255,Padre Carvalho,MG,1,Área de atuação da SUDENE,IBGE - Área de Atuação da SUDENE,2021 (LC 185/2021)
3146305,Padre Paraíso,MG,1,Área de atuação da SUDENE,IBGE - Área de Atuação da SUDENE,2021 (LC 185/2021)
3146552,Pai Pedro,MG,1,Área de atuação da SUDENE,IBGE - Área de Atuação da SUDENE,2021 (LC 185/2021)
3146750,Palmópolis,MG,1,Área de atuação da SUDENE,IBGE - Área de Atuação da SUDENE,2021 (LC 185/2021)
3147956,Patis,MG,1,Área de atuação da SUDENE,IBGE - Área de Atuação da SUDENE,2021 (LC 185/2021)
3148400,Paulistas,MG,1,Área de atuação da SUDENE,IBGE - Área de Atuação da SUDENE,2021 (LC 185/2021)
3148509,Pavão,MG,1,Área de atuação da SUDENE,IBGE - Área de Atuação da SUDENE,2021 (LC 185/2021)
3148608,Peçanha,MG,1,Área de atuação da SUDENE,IBGE - Área de Atuação da SUDENE,2021 (LC 185/2021)
3148707,Pedra Azul,MG,1,Área de atuação da SUDENE,IBGE - Área de Atuação da SUDENE,2021 (LC 185/2021)
3149150,Pedras de Maria da Cruz,MG,1,Área de atuação da SUDENE,IBGE - Área de Atuação da SUDENE,2021 (LC 185/2021)
3149952,Periquito,MG,1,Área de atuação da SUDENE,IBGE - Área de Atuação da SUDENE,2021 (LC 185/2021)
3150000,Pescador,MG,1,Área de atuação da SUDENE,IBGE - Área de Atuação da SUDENE,2021 (LC 185/2021)
3150158,Piedade de Caratinga,MG,1,Área de atuação da SUDENE,IBGE - Área de Atuação da SUDENE,2021 (LC 185/2021)
3150570,Pintópolis,MG,1,Área de atuação da SUDENE,IBGE - Área de Atuação da SUDENE,2021 (LC 185/2021)
3151206,Pirapora,MG,1,Área de atuação da SUDENE,IBGE - Área de Atuação da SUDENE,2021 (LC 185/2021)
3152131,Ponto Chique,MG,1,Área de atuação da SUDENE,IBGE - Área de Atuação da SUDENE,2021 (LC 185/2021)
3152170,Ponto dos Volantes,MG,1,Área de atuação da SUDENE,IBGE - Área de Atuação da SUDENE,2021 (LC 185/2021)
3152204,Porteirinha,MG,1,Área de atuação da SUDENE,IBGE - Área de Atuação da SUDENE,2021 (LC 185/2021)
3152402,Poté,MG,1,Área de atuação da SUDENE,IBGE - Área de Atuação da SUDENE,2021 (LC 185/2021)
